ch_id,spacecraft,class,precision,recall,f1
P-1,SMAP,"[contextual, contextual, contextual]",0.09922680412371133,0.4117647058823529,0.15991692627206647
S-1,SMAP,[point],0.15467128027681662,1.0,0.267905304165418
E-1,SMAP,"[contextual, contextual]",0.1576158940397351,0.9407114624505929,0.26999432785025523
E-2,SMAP,[point],0.32263279445727483,1.0,0.4878645014841977
E-3,SMAP,[point],0.8699891657638137,1.0,0.9304750869061413
E-4,SMAP,[point],0.7556451612903226,1.0,0.8608176389526871
E-5,SMAP,[point],0.08311688311688312,1.0,0.15347721822541965
E-6,SMAP,[point],0.019938650306748466,1.0,0.039097744360902256
E-7,SMAP,[point],0.06641366223908918,1.0,0.12455516014234876
E-8,SMAP,[point],0.15746835443037974,1.0,0.27209098862642167
E-9,SMAP,[point],0.09308510638297872,1.0,0.170316301703163
E-10,SMAP,"[contextual, contextual]",0.0803810657933909,0.84375,0.14677901603696658
E-11,SMAP,"[contextual, contextual]",0.06532258064516129,0.8293515358361775,0.12110640418639422
E-12,SMAP,"[contextual, contextual]",0.1638888888888889,0.9139414802065404,0.27793771264066996
E-13,SMAP,"[contextual, contextual, contextual]",0.08918406072106262,0.5402298850574713,0.15309446254071662
A-1,SMAP,[point],0.0,0.0,0.0
D-1,SMAP,[point],0.7055002165439584,1.0,0.8273235144743525
P-2,SMAP,[point],0.3319783197831978,1.0,0.49847405900305186
P-3,SMAP,[point],0.3288177339901478,1.0,0.494902687673772
D-2,SMAP,[point],0.7986742424242425,1.0,0.8880699168158366
D-3,SMAP,[point],0.7554786620530565,1.0,0.8607095926412615
D-4,SMAP,[point],0.6927672285043738,1.0,0.8185026468364003
A-2,SMAP,[contextual],0.0,0.0,0.0
A-3,SMAP,[contextual],0.0,0.0,0.0
A-4,SMAP,[contextual],0.0,0.0,0.0
G-1,SMAP,[contextual],0.0,0.0,0.0
G-2,SMAP,[point],0.016260162601626018,1.0,0.032
D-5,SMAP,[point],0.010917030567685589,1.0,0.02159827213822894
D-6,SMAP,[point],0.0,0.0,0.0
D-7,SMAP,[point],0.7200746467608637,1.0,0.8372597644141352
F-1,SMAP,[point],0.01349527665317139,1.0,0.02663115845539281
P-4,SMAP,"[point, point, point]",0.06358381502890173,1.0,0.11956521739130435
G-3,SMAP,[point],0.0,0.0,0.0
T-1,SMAP,"[point, contextual]",0.17816492450638793,1.0,0.3024447949526814
T-2,SMAP,[point],0.0,0.0,0.0
D-8,SMAP,[point],0.0,0.0,0.0
D-9,SMAP,[point],0.0,0.0,0.0
F-2,SMAP,[point],0.0,0.0,0.0
G-4,SMAP,[point],0.0,0.0,0.0
T-3,SMAP,"[point, point]",0.0,0.0,0.0
D-11,SMAP,[point],0.08333333333333333,1.0,0.15384615384615385
D-12,SMAP,[point],0.0,0.0,0.0
B-1,SMAP,[point],0.0,0.0,0.0
G-6,SMAP,[point],0.0,0.0,0.0
G-7,SMAP,"[contextual, point, contextual]",0.4491525423728814,1.0,0.6198830409356725
P-7,SMAP,[contextual],0.0,0.0,0.0
R-1,SMAP,[point],0.0,0.0,0.0
A-5,SMAP,[point],0.01893939393939394,1.0,0.03717472118959108
A-6,SMAP,[point],0.16,1.0,0.27586206896551724
A-7,SMAP,[contextual],0.0,0.0,0.0
D-13,SMAP,[point],0.0,0.0,0.0
P-2,SMAP,[point],0.3002680965147453,1.0,0.4618556701030928
A-8,SMAP,[contextual],0.0,0.0,0.0
A-9,SMAP,[contextual],0.0,0.0,0.0
F-3,SMAP,[contextual],0.011730205278592375,1.0,0.02318840579710145
M-6,MSL,[point],0.0,0.0,0.0
M-1,MSL,[contextual],0.7651006711409396,1.0,0.8669201520912547
M-2,MSL,[contextual],0.6333333333333333,1.0,0.7755102040816326
S-2,MSL,[point],0.005780346820809248,1.0,0.011494252873563218
P-10,MSL,[point],0.08176100628930817,1.0,0.1511627906976744
T-4,MSL,[point],0.08947368421052632,1.0,0.1642512077294686
T-5,MSL,[point],0.0,0.0,0.0
F-7,MSL,"[contextual, contextual, contextual]",0.0,0.0,0.0
M-3,MSL,[contextual],0.0,0.0,0.0
M-4,MSL,[contextual],0.0,0.0,0.0
M-5,MSL,[contextual],0.0,0.0,0.0
P-15,MSL,[point],0.0,0.0,0.0
C-1,MSL,"[point, contextual]",0.16666666666666666,0.6451612903225806,0.26490066225165565
C-2,MSL,"[point, contextual]",0.06818181818181818,1.0,0.1276595744680851
T-12,MSL,[contextual],0.22641509433962265,1.0,0.36923076923076925
T-13,MSL,"[contextual, contextual]",0.0,0.0,0.0
F-4,MSL,[point],0.04294478527607362,1.0,0.08235294117647059
F-5,MSL,[point],0.09933774834437085,1.0,0.18072289156626506
D-14,MSL,"[point, point]",0.09401709401709402,1.0,0.171875
T-9,MSL,"[point, point]",0.11956521739130435,1.0,0.21359223300970873
P-14,MSL,[point],0.03435114503816794,1.0,0.06642066420664207
T-8,MSL,"[contextual, contextual]",0.07194244604316546,1.0,0.1342281879194631
P-11,MSL,"[point, point]",0.0,0.0,0.0
D-15,MSL,[point],0.7619047619047619,1.0,0.8648648648648649
D-16,MSL,[contextual],0.43333333333333335,1.0,0.6046511627906976
M-7,MSL,[point],0.0625,1.0,0.11764705882352941
F-8,MSL,[contextual],0.32563791008505466,1.0,0.4912923923006416
