ch_id,spacecraft,class,precision,recall,f1
P-1,SMAP,"[contextual, contextual, contextual]",0.10755875502858353,0.679144385026738,0.18570645220252238
S-1,SMAP,[point],0.10902439024390244,1.0,0.19661315152848033
E-1,SMAP,"[contextual, contextual]",0.09216757741347906,1.0,0.16877918612408271
E-2,SMAP,[point],0.22939244663382594,1.0,0.37318017897689326
E-3,SMAP,[point],0.6081029912911776,1.0,0.7562985636920179
E-4,SMAP,[point],0.5655935613682093,1.0,0.7225292378871611
E-5,SMAP,[point],0.05693950177935943,1.0,0.10774410774410774
E-6,SMAP,[point],0.012104283054003724,1.0,0.02391904323827047
E-7,SMAP,[point],0.050816696914700546,1.0,0.09671848013816926
E-8,SMAP,[point],0.11691729323308271,1.0,0.20935711881521374
E-9,SMAP,[point],0.0708502024291498,1.0,0.1323251417769376
E-10,SMAP,"[contextual, contextual]",0.05142857142857143,0.84375,0.09694793536804308
E-11,SMAP,"[contextual, contextual]",0.04691119691119691,0.8293515358361775,0.088799561483647
E-12,SMAP,"[contextual, contextual]",0.09869888475836432,0.9139414802065404,0.17815802717664822
E-13,SMAP,"[contextual, contextual, contextual]",0.051570835803200946,1.0,0.09808342728297632
A-1,SMAP,[point],0.01768421052631579,1.0,0.03475382705833678
D-1,SMAP,[point],0.4952873213742779,1.0,0.6624644164294429
P-2,SMAP,[point],0.1844879518072289,1.0,0.31150667514303876
P-3,SMAP,[point],0.24054054054054055,1.0,0.3877995642701525
D-2,SMAP,[point],0.6879282218597064,1.0,0.8151154924132599
D-3,SMAP,[point],0.532520325203252,1.0,0.6949602122015915
D-4,SMAP,[point],0.6061228299421317,1.0,0.7547652254765226
A-2,SMAP,[contextual],0.02131782945736434,1.0,0.04174573055028463
A-3,SMAP,[contextual],0.03969957081545064,1.0,0.07636738906088751
A-4,SMAP,[contextual],0.0,0.0,0.0
G-1,SMAP,[contextual],0.0,0.0,0.0
G-2,SMAP,[point],0.008547008547008548,1.0,0.01694915254237288
D-5,SMAP,[point],0.007656967840735069,1.0,0.015197568389057751
D-6,SMAP,[point],0.0137221269296741,1.0,0.02707275803722504
D-7,SMAP,[point],0.5124264845380383,1.0,0.6776216758655293
F-1,SMAP,[point],0.012391573729863693,1.0,0.02447980416156671
P-4,SMAP,"[point, point, point]",0.06179775280898876,1.0,0.1164021164021164
G-3,SMAP,[point],0.012195121951219513,1.0,0.024096385542168676
T-1,SMAP,"[point, contextual]",0.17816492450638793,1.0,0.3024447949526814
T-2,SMAP,[point],0.0,0.0,0.0
D-8,SMAP,[point],0.0,0.0,0.0
D-9,SMAP,[point],0.0,0.0,0.0
F-2,SMAP,[point],0.4183413529578262,1.0,0.5899022151267213
G-4,SMAP,[point],0.04054054054054054,1.0,0.07792207792207792
T-3,SMAP,"[point, point]",0.18571428571428572,1.0,0.3132530120481928
D-11,SMAP,[point],0.06315789473684211,1.0,0.1188118811881188
D-12,SMAP,[point],0.0,0.0,0.0
B-1,SMAP,[point],0.0,0.0,0.0
G-6,SMAP,[point],0.03257328990228013,1.0,0.06309148264984227
G-7,SMAP,"[contextual, point, contextual]",0.062206572769953054,1.0,0.11712707182320442
P-7,SMAP,[contextual],0.7534246575342466,1.0,0.859375
R-1,SMAP,[point],0.0,0.0,0.0
A-5,SMAP,[point],0.010845986984815618,1.0,0.02145922746781116
A-6,SMAP,[point],0.008988764044943821,1.0,0.017817371937639197
A-7,SMAP,[contextual],0.29850746268656714,1.0,0.45977011494252873
D-13,SMAP,[point],0.0,0.0,0.0
P-2,SMAP,[point],0.1686746987951807,1.0,0.28865979381443296
A-8,SMAP,[contextual],0.0,0.0,0.0
A-9,SMAP,[contextual],0.0,0.0,0.0
F-3,SMAP,[contextual],0.008064516129032258,1.0,0.016
M-6,MSL,[point],0.0,0.0,0.0
M-1,MSL,[contextual],0.6,1.0,0.75
M-2,MSL,[contextual],0.6063829787234043,1.0,0.7549668874172185
S-2,MSL,[point],0.0056179775280898875,1.0,0.0111731843575419
P-10,MSL,[point],0.03110047846889952,1.0,0.060324825986078884
T-4,MSL,[point],0.051908396946564885,1.0,0.09869375907111756
T-5,MSL,[point],0.017543859649122806,1.0,0.034482758620689655
F-7,MSL,"[contextual, contextual, contextual]",0.11797752808988764,1.0,0.21105527638190955
M-3,MSL,[contextual],0.0,0.0,0.0
M-4,MSL,[contextual],0.0,0.0,0.0
M-5,MSL,[contextual],0.3448275862068966,1.0,0.5128205128205128
P-15,MSL,[point],0.0,0.0,0.0
C-1,MSL,"[point, contextual]",0.19375,1.0,0.32460732984293195
C-2,MSL,"[point, contextual]",0.0661764705882353,1.0,0.12413793103448276
T-12,MSL,[contextual],0.08333333333333333,1.0,0.15384615384615385
T-13,MSL,"[contextual, contextual]",0.13020833333333334,1.0,0.2304147465437788
F-4,MSL,[point],0.026717557251908396,1.0,0.05204460966542751
F-5,MSL,[point],0.0528169014084507,1.0,0.10033444816053512
D-14,MSL,"[point, point]",0.08461538461538462,1.0,0.15602836879432624
T-9,MSL,"[point, point]",0.11702127659574468,1.0,0.20952380952380953
P-14,MSL,[point],0.03125,1.0,0.06060606060606061
T-8,MSL,"[contextual, contextual]",0.06622516556291391,1.0,0.12422360248447205
P-11,MSL,"[point, point]",0.13933415536374846,1.0,0.24458874458874458
D-15,MSL,[point],0.4444444444444444,1.0,0.6153846153846154
D-16,MSL,[contextual],0.42207792207792205,1.0,0.593607305936073
M-7,MSL,[point],0.05917159763313609,1.0,0.11173184357541899
F-8,MSL,[contextual],0.242973708068903,1.0,0.39095550692924874
